,experiment,date,hour,device_make,platform_os,browser,aware
2263,exposed,2020-07-04,16,Samsung SM-G935F,6,Samsung Internet,False
2270,control,2020-07-08,21,LG-$2,6,Chrome Mobile,True
2277,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2286,control,2020-07-09,12,Samsung SM-A105FN,6,Chrome Mobile,False
2287,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,False
2306,control,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,True
2333,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2346,exposed,2020-07-03,10,Samsung SM-J600FN,6,Samsung Internet,True
2347,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2357,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2361,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2363,control,2020-07-08,2,Generic Smartphone,6,Chrome Mobile,False
2364,exposed,2020-07-07,2,Generic Smartphone,6,Chrome Mobile,False
2367,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile WebView,False
2383,exposed,2020-07-07,17,Samsung SM-G980F,6,Samsung Internet,False
2386,control,2020-07-03,15,ANE-LX1,6,Facebook,True
2387,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,False
2400,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile WebView,False
2409,control,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,True
2416,control,2020-07-09,4,Nokia undefined$2$3,6,Chrome Mobile,False
2417,exposed,2020-07-09,10,Samsung SM-G935F,6,Facebook,False
2421,control,2020-07-03,15,Samsung SM-G988B,6,Facebook,True
2427,exposed,2020-07-05,7,LG-$2,6,Chrome Mobile WebView,False
2428,control,2020-07-08,21,Samsung SM-A405FN,6,Facebook,True
2440,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,True
2453,exposed,2020-07-09,15,Generic Smartphone,6,Chrome Mobile,False
2456,exposed,2020-07-03,10,Samsung SM-G975F,6,Chrome Mobile WebView,False
2457,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2465,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,True
2476,control,2020-07-09,0,Generic Smartphone,6,Chrome Mobile,False
2477,exposed,2020-07-09,0,Generic Smartphone,6,Chrome Mobile,False
2481,exposed,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,False
2485,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,True
2487,control,2020-07-10,5,Samsung SM-A202F,6,Samsung Internet,False
2488,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,False
2490,exposed,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,False
2502,control,2020-07-03,15,Samsung SM-A520F,6,Facebook,False
2521,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,False
2526,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,False
2531,exposed,2020-07-05,12,Huawei Browser,6,Chrome,True
2537,control,2020-07-10,8,Samsung SM-A705FN,6,Samsung Internet,True
2547,control,2020-07-05,1,Samsung $2,6,Samsung Internet,False
2556,control,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,False
2558,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,True
2563,exposed,2020-07-09,8,MRD-LX1,6,Chrome Mobile WebView,False
2564,control,2020-07-09,7,Samsung SM-J320FN,6,Facebook,False
2573,exposed,2020-07-08,18,Samsung SM-G965U1,6,Facebook,False
2574,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,False
2585,exposed,2020-07-03,6,Samsung SM-A705FN,6,Samsung Internet,True
2589,control,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,True
2592,control,2020-07-07,17,Generic Smartphone,6,Chrome Mobile,True
2598,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,True
2600,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,False
2602,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,False
2606,exposed,2020-07-09,14,Nokia$2$3,6,Chrome Mobile WebView,False
2610,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,False
2614,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,True
2620,exposed,2020-07-04,10,Samsung SM-G900F,6,Chrome Mobile WebView,False
2625,control,2020-07-10,16,Samsung SM-A320FL,6,Samsung Internet,True
2630,control,2020-07-03,15,iPhone,5,Mobile Safari,False
2631,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,False
2637,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,False
2647,control,2020-07-08,8,Samsung SM-G973F,6,Facebook,True
2656,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,False
2660,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2665,exposed,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,False
2674,exposed,2020-07-07,19,Samsung SM-G960F,6,Samsung Internet,True
2675,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,False
2681,exposed,2020-07-09,16,Samsung SM-G980F,6,Chrome Mobile WebView,True
2711,exposed,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,False
2720,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2722,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2731,exposed,2020-07-05,9,Nokia$2$3,6,Chrome Mobile WebView,True
2732,exposed,2020-07-07,0,Moto $2,6,Chrome Mobile WebView,False
2734,exposed,2020-07-06,6,Generic Smartphone,6,Chrome Mobile,True
2735,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2744,exposed,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,True
2745,exposed,2020-07-06,6,Generic Smartphone,6,Chrome Mobile,True
2766,exposed,2020-07-03,5,Generic Smartphone,6,Chrome Mobile WebView,True
2771,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2778,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2779,control,2020-07-03,15,Samsung SM-G970F,6,Samsung Internet,True
2789,exposed,2020-07-05,13,Generic Smartphone,6,Chrome Mobile,True
2791,control,2020-07-07,3,Generic Smartphone,6,Chrome Mobile,False
2799,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,False
2813,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,False
2819,control,2020-07-06,0,VTR-L09,6,Chrome Mobile WebView,False
2822,exposed,2020-07-05,11,Generic Smartphone,6,Chrome Mobile,True
2826,exposed,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,False
2827,control,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,False
2831,exposed,2020-07-04,23,Generic Smartphone,6,Chrome Mobile,True
2847,control,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,True
2854,control,2020-07-03,15,Samsung SM-A320FL,6,Samsung Internet,True
2856,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2863,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,False
2874,control,2020-07-09,10,Samsung SM-G973F,6,Facebook,False
2880,exposed,2020-07-05,8,Samsung SM-G960F,6,Samsung Internet,False
2895,exposed,2020-07-07,18,Generic Smartphone,6,Chrome Mobile,False
2904,exposed,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,True
2910,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
2915,control,2020-07-05,11,Generic Smartphone,6,Chrome Mobile,True
2918,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2921,exposed,2020-07-09,7,Generic Smartphone,6,Chrome Mobile,True
2925,exposed,2020-07-08,21,LG-$2,6,Chrome Mobile,True
2928,exposed,2020-07-05,15,Samsung SM-A105FN,6,Samsung Internet,False
2931,exposed,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,False
2938,control,2020-07-10,14,Generic Smartphone,6,Chrome Mobile,False
2945,exposed,2020-07-08,7,Samsung SM-N960F,6,Chrome Mobile WebView,False
2947,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,True
2948,control,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,False
2951,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
2952,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,False
2958,exposed,2020-07-07,9,Generic Smartphone,6,Chrome Mobile,True
2961,exposed,2020-07-07,22,Generic Smartphone,6,Chrome Mobile,True
2973,exposed,2020-07-07,3,Samsung SM-G973F,6,Samsung Internet,False
2976,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,True
2978,control,2020-07-09,9,Generic Smartphone,6,Chrome Mobile,False
2981,control,2020-07-08,16,Samsung SM-A405FN,6,Samsung Internet,True
2984,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,False
2988,exposed,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,False
2989,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,False
2994,exposed,2020-07-08,22,Samsung SM-G960F,6,Facebook,False
2998,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3005,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,True
3015,exposed,2020-07-10,4,Samsung SM-G930F,6,Chrome Mobile WebView,True
3018,exposed,2020-07-05,8,Samsung SM-G960F,6,Chrome Mobile,False
3033,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,False
3036,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,True
3037,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,True
3056,exposed,2020-07-05,11,Samsung SM-A320FL,6,Samsung Internet,False
3067,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,True
3076,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,False
3090,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,False
3097,exposed,2020-07-04,14,CLT-L09,6,Facebook,False
3099,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,True
3111,exposed,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,False
3113,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,True
3119,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,False
3123,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile WebView,False
3131,exposed,2020-07-10,12,Samsung $2,6,Samsung Internet,False
3135,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,False
3138,exposed,2020-07-07,14,Generic Smartphone,6,Chrome Mobile WebView,False
3139,control,2020-07-04,11,Samsung SM-G950F,6,Samsung Internet,True
3140,exposed,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,True
3145,control,2020-07-09,13,Samsung SM-G960F,6,Facebook,False
3149,control,2020-07-07,8,Generic Smartphone,6,Chrome Mobile,True
3158,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,False
3161,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3166,exposed,2020-07-09,20,Samsung SM-A705FN,6,Facebook,False
3190,control,2020-07-08,14,Samsung SM-A520F,6,Facebook,False
3193,control,2020-07-09,10,Samsung SM-G960F,6,Facebook,True
3197,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,False
3213,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3216,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,True
3237,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,False
3240,control,2020-07-04,3,iPhone,5,Mobile Safari,True
3246,control,2020-07-03,15,Samsung $2,6,Samsung Internet,True
3250,control,2020-07-08,14,Samsung SM-G960F,6,Samsung Internet,False
3260,exposed,2020-07-05,10,Samsung SM-G973F,6,Chrome Mobile WebView,True
3262,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3271,control,2020-07-04,14,Samsung SM-A600FN,6,Samsung Internet,True
3274,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,False
3275,control,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,True
3280,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,False
3286,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,False
3289,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3290,control,2020-07-03,15,MRD-LX1,6,Facebook,True
3305,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3314,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,False
3330,control,2020-07-06,5,Generic Smartphone,6,Chrome Mobile,False
3331,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3332,exposed,2020-07-09,4,Samsung SM-A202F,6,Chrome Mobile WebView,False
3334,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3337,exposed,2020-07-05,9,Samsung SM-J530F,6,Samsung Internet,True
3341,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,False
3369,exposed,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,True
3372,control,2020-07-04,7,Samsung SM-G970F,6,Samsung Internet,False
3374,control,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,False
3383,exposed,2020-07-06,10,Samsung SM-N950F,6,Facebook,True
3390,control,2020-07-03,15,MAR-LX1A,6,Facebook,False
3404,exposed,2020-07-08,20,VFD 700,6,Chrome Mobile WebView,True
3412,exposed,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,False
3413,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,False
3426,control,2020-07-04,8,Samsung SM-G960F,6,Facebook,True
3433,control,2020-07-03,15,Samsung SM-A310F,6,Samsung Internet,True
3437,control,2020-07-04,15,Samsung SM-G973F,6,Facebook,True
3444,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,True
3445,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3448,exposed,2020-07-03,10,Samsung SM-A405FN,6,Chrome Mobile WebView,False
3449,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,True
3473,exposed,2020-07-05,5,Samsung SM-G950F,6,Chrome Mobile WebView,True
3478,exposed,2020-07-04,11,Nokia undefined$2$3,6,Chrome Mobile,True
3487,control,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,True
3490,exposed,2020-07-03,9,Samsung SM-N920I,6,Chrome Mobile WebView,False
3492,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,True
3496,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3499,control,2020-07-05,18,Samsung SM-G960F,6,Facebook,True
3516,control,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,True
3528,control,2020-07-07,9,Generic Smartphone,6,Chrome Mobile,True
3532,control,2020-07-08,18,Samsung SM-G977B,6,Facebook,False
3537,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3543,control,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,True
3545,exposed,2020-07-05,11,Generic Smartphone,6,Chrome Mobile,False
3546,control,2020-07-09,18,Samsung SM-G970F,6,Samsung Internet,True
3565,exposed,2020-07-05,10,Generic Smartphone,6,Chrome Mobile,False
3571,control,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,False
3574,control,2020-07-05,4,Samsung SM-G975F,6,Chrome Mobile WebView,True
3577,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,True
3581,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3588,exposed,2020-07-08,8,Generic Smartphone,6,Chrome Mobile,False
3590,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,True
3594,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3596,control,2020-07-04,0,XiaoMi MI 8 Pro,6,Facebook,True
3621,control,2020-07-04,5,Nokia$2$3,6,Chrome Mobile,False
3630,control,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,False
3639,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3642,control,2020-07-09,16,Samsung SM-N970F,6,Facebook,False
3644,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
3645,control,2020-07-06,6,Samsung SM-G981B,6,Samsung Internet,True
3661,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,False
3665,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,False
3666,exposed,2020-07-04,6,ELE-L09,6,Facebook,True
3684,control,2020-07-08,20,ELE-L09,6,Facebook,False
3697,control,2020-07-10,17,ELE-L29,6,Facebook,True
3700,control,2020-07-07,5,Generic Smartphone,6,Chrome Mobile,False
3703,control,2020-07-08,13,Samsung SM-G975F,6,Facebook,False
3712,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,False
3714,exposed,2020-07-06,7,Generic Smartphone,6,Chrome Mobile,False
3722,exposed,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,True
3730,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,True
3734,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,False
3742,exposed,2020-07-09,17,Samsung SM-A507FN,6,Chrome Mobile WebView,True
3747,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3752,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile WebView,False
3761,exposed,2020-07-09,7,Generic Smartphone,6,Chrome Mobile,True
3763,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,False
3770,control,2020-07-05,14,MAR-LX1A,6,Facebook,True
3776,exposed,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,False
3777,exposed,2020-07-06,7,Generic Smartphone,6,Chrome Mobile,False
3796,control,2020-07-09,22,Generic Smartphone,6,Chrome Mobile WebView,True
3805,control,2020-07-04,20,Samsung SM-J330FN,6,Samsung Internet,False
3808,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile WebView,False
3816,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,False
3818,control,2020-07-06,8,Samsung SM-A202F,6,Samsung Internet,True
3825,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
3833,control,2020-07-04,12,Nokia$2$3,6,Facebook,False
3843,exposed,2020-07-05,3,iPhone,5,Mobile Safari,True
3845,control,2020-07-10,8,Samsung SM-G973F,6,Chrome Mobile WebView,True
3848,exposed,2020-07-10,15,Samsung SM-G950F,6,Samsung Internet,False
3850,control,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,True
3852,exposed,2020-07-04,3,Nokia undefined$2$3,6,Chrome Mobile,True
3854,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,False
3862,control,2020-07-09,2,Generic Smartphone,6,Chrome Mobile,False
3877,exposed,2020-07-07,22,Generic Smartphone,6,Chrome Mobile,True
3880,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile WebView,True
3885,exposed,2020-07-05,7,Samsung SM-G975F,6,Samsung Internet,True
3886,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,False
3888,exposed,2020-07-09,19,Samsung SM-A105FN,6,Samsung Internet,False
3898,exposed,2020-07-08,21,Samsung SM-G950F,6,Facebook,False
3900,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile,True
3903,exposed,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,True
3917,control,2020-07-03,15,Samsung SM-J600FN,6,Samsung Internet,False
3920,exposed,2020-07-03,3,Samsung SM-G975F,6,Chrome Mobile WebView,True
3946,exposed,2020-07-09,21,Samsung SM-G975F,6,Samsung Internet,False
3957,control,2020-07-06,1,MAR-LX1A,6,Facebook,False
3961,exposed,2020-07-03,13,Samsung SM-A750FN,6,Chrome Mobile WebView,True
3962,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,True
3982,control,2020-07-07,13,Generic Smartphone,6,Chrome Mobile,False
3986,exposed,2020-07-05,7,Generic Smartphone,6,Chrome Mobile WebView,False
3991,exposed,2020-07-05,13,Samsung SM-G950F,6,Samsung Internet,False
3995,control,2020-07-05,5,CLT-L09,6,Chrome Mobile WebView,False
3996,exposed,2020-07-08,12,Generic Smartphone,6,Chrome Mobile,True
4005,control,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,True
4011,exposed,2020-07-06,8,Samsung SM-G950F,6,Chrome Mobile WebView,False
4012,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,False
4015,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,False
4016,control,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,True
4028,exposed,2020-07-10,13,Samsung SM-A300FU,6,Chrome Mobile WebView,False
4031,exposed,2020-07-07,14,Samsung SM-G960F,6,Samsung Internet,False
4039,exposed,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,False
4048,exposed,2020-07-06,5,Samsung SM-A505FN,6,Samsung Internet,False
4061,control,2020-07-05,21,Generic Smartphone,6,Chrome Mobile,False
4068,control,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,True
4069,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
4070,exposed,2020-07-07,9,Generic Smartphone,6,Chrome Mobile,True
4071,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,False
4081,control,2020-07-07,0,Generic Smartphone,6,Chrome Mobile,False
4102,exposed,2020-07-09,11,POT-LX1,6,Chrome Mobile WebView,False
4104,exposed,2020-07-08,22,Samsung SM-G980F,6,Facebook,False
4109,control,2020-07-10,15,Samsung SM-A105FN,6,Samsung Internet,True
4112,control,2020-07-03,15,Samsung SM-A515F,6,Chrome Mobile WebView,False
4115,control,2020-07-05,15,Generic Smartphone,6,Chrome Mobile,True
4124,exposed,2020-07-08,13,Generic Smartphone,6,Chrome Mobile,False
4129,exposed,2020-07-04,6,PRA-LX1,6,Chrome Mobile WebView,False
4133,control,2020-07-10,7,Generic Smartphone,6,Chrome Mobile,False
4142,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
4145,exposed,2020-07-04,10,Samsung SM-G965F,6,Facebook,True
4154,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,False
4156,control,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,True
4157,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
4164,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,True
4166,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
4168,control,2020-07-08,18,Samsung SM-A202F,6,Samsung Internet,True
4172,exposed,2020-07-06,2,Generic Smartphone,6,Chrome Mobile,True
4207,exposed,2020-07-10,14,Generic Smartphone,6,Facebook,True
4229,exposed,2020-07-03,8,Samsung SM-G920F,6,Chrome Mobile WebView,True
4239,exposed,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,False
4241,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,True
4243,exposed,2020-07-08,3,Generic Smartphone,6,Chrome Mobile,False
4245,exposed,2020-07-08,5,iPhone,5,Mobile Safari,False
4250,exposed,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,False
